item,itemLabel
Q5529951,Geeta_Kapur
Q1314608,Wolfgang_Lipp_(theologian)
Q258630,Sophie_Calle
Q4726721,Alina_Panova
Q19613430,Anne_Hagopian
Q109301,Nicola Marschall
Q527373,Anne-Mie_van_Kerckhoven
Q6154264,Janice_Kluge
Q1322881,Swing_Painter
Q6500400,Lauren_Weinstein_(cartoonist)
Q5210384,Dale_Copeland
Q17262309,Maja_Dunfjeld
Q1093318,Celeste Buckingham
Q273696,Mona_Hatoum
Q7422761,Sarah_Seager
Q1325728,Eleanor_Joachim
Q15522104,Jay_DeFeo
Q7145498,Patricia_Burke_Brogan
Q28113004,Moira_Roth
Q1095265,Clara Tott
Q5402192,Margaret_Keane
Q6375971,Katerina_Grolliou
Q1332126,Elli_Riehl
Q1331315,Elizabeth_Simcoe
Q4914325,Bingyi
Q42761395,Aline_Gubbay
Q10956501,K. C. S. Paniker
Q439844,Ithell_Colquhoun
